batch size,trial #,naive obective val,naive time,inexact objective val,inexact time,greedy objective val,greedy time
500,0,12262.83400000001,0.0020918846130371094,3625.2530000000006,4.029200792312622,7218.677,0.23494720458984375
500,1,22333.361999999983,0.0020558834075927734,5529.682000000012,7.068340301513672,13284.162000000008,0.26329994201660156
500,2,13217.824,0.0016651153564453125,2252.6949999999997,3.336239814758301,4627.297000000002,0.18117403984069824
500,3,18493.104000000014,0.00173187255859375,2623.792000000005,3.477358102798462,5057.977000000003,0.1985330581665039
500,4,15836.726999999995,0.0024328231811523438,5667.691999999992,3.290950059890747,5468.317000000003,0.246931791305542
600,0,30925.56200000001,0.0030171871185302734,10878.711999999996,6.277262926101685,11321.822000000011,0.27465391159057617
600,1,17536.11699999996,0.002696990966796875,5593.655000000006,6.912246942520142,8756.205999999995,0.21048688888549805
600,2,32648.15700000001,0.002215147018432617,8729.355999999996,5.982156991958618,12894.486,0.2340989112854004
600,3,30433.667000000027,0.0021610260009765625,8660.22600000002,5.7213709354400635,13261.12699999999,0.23520708084106445
600,4,27298.677,0.0021209716796875,6526.514999999999,6.148458957672119,14727.922000000002,0.2302992343902588
700,0,32628.726999999995,0.002785921096801758,13157.556000000004,6.2220258712768555,16588.20699999999,0.28266191482543945
700,1,25477.036999999993,0.0023698806762695312,5651.56300000002,16.53266406059265,11100.632000000009,0.23931002616882324
700,2,35476.316999999995,0.0026650428771972656,12657.18500000002,7.996310710906982,22874.17600000001,0.2553830146789551
700,3,31209.446999999996,0.003371000289916992,15191.421999999995,9.525534868240356,17874.58200000002,0.36578798294067383
700,4,25219.006999999994,0.0030198097229003906,12410.046000000002,7.346837043762207,18011.592000000022,0.32008981704711914
800,0,42621.69699999997,0.00308990478515625,20381.66199999998,13.481232166290283,27240.851999999995,0.4298219680786133
800,1,36114.62699999999,0.0036399364471435547,12954.112999999994,13.673710107803345,19734.876999999997,0.3811328411102295
800,2,51482.47699999997,0.003080129623413086,27257.726999999988,10.188815832138062,30082.20200000001,0.44245314598083496
800,3,40616.51699999999,0.003818035125732422,18117.78599999998,15.834262132644653,21164.40200000002,0.4495580196380615
800,4,38241.15699999999,0.002950906753540039,19045.611999999997,14.532247066497803,21412.272000000008,0.3919100761413574
900,0,57387.56699999991,0.0033228397369384766,26260.905000000006,10.175841093063354,37358.69199999998,0.4571719169616699
900,1,46921.632,0.003420114517211914,24872.99700000002,16.73178791999817,29599.726000000013,0.3668859004974365
900,2,37074.84700000002,0.003237009048461914,18331.112000000005,15.919619083404541,24635.347000000005,0.39700818061828613
900,3,45718.417,0.0035829544067382812,20564.392000000003,17.100849866867065,24069.23200000002,0.3784911632537842
900,4,45101.38699999999,0.0038640499114990234,19569.03899999999,20.73140573501587,25744.676999999985,0.4020097255706787
1000,0,63991.50699999998,0.00406193733215332,38908.242,17.68947982788086,38737.49699999999,0.4410369396209717
1000,1,38452.337,0.004312038421630859,18612.232000000007,32.29845595359802,22988.271999999994,0.44721102714538574
1000,2,57380.87699999999,0.0036919116973876953,29854.961999999996,15.462341070175171,33738.492,0.3927018642425537
1000,3,66865.62699999993,0.003510713577270508,29306.565999999995,16.234555959701538,37203.19200000001,0.40828490257263184
1000,4,58065.35700000003,0.0043752193450927734,33567.302000000025,17.0347421169281,36276.49600000004,0.45009708404541016
1100,0,67419.79700000005,0.00477910041809082,31607.615000000013,48.104292154312134,41809.566000000006,0.53658127784729
1100,1,57136.27699999999,0.004046916961669922,28798.057000000026,24.840189218521118,33281.32200000003,0.5513260364532471
1100,2,57800.40699999996,0.004001140594482422,26709.39500000001,23.00694513320923,35599.99199999997,0.43135905265808105
1100,3,59267.21199999997,0.003621816635131836,29590.371999999985,22.978731632232666,38796.03600000002,0.4424781799316406
1100,4,56869.977,0.0037412643432617188,31903.072000000004,20.415496110916138,33255.452000000034,0.4060699939727783
