Batch Size,Rand_Round,Rand_Round Time,Greedy,Greedy Time,Naive,Naive Time
500,4116.5511,7.78105890274048,8208.6882,0.339090967178345,16726.76236,0.0034844970703125
600,7517.9973,14.5114258909225,11942.69108,0.405560507774353,23127.34902,0.00402450561523438
700,13305.04194,20.7476899576187,18161.29844,0.49011688709259,33270.37354,0.00474194049835205
800,18586.76064,25.9098112440109,23221.05914,0.5508953332901,41153.41164,0.00547126293182373
900,22429.36082,38.2217936849594,28295.97066,0.63366711139679,47167.9764,0.00630683898925781
1000,27859.32798,46.1520410585403,33466.97272,0.668650884628296,55043.10242,0.00670062065124512
1100,33431.12876,57.546359295845,39463.25368,0.721789937019348,62331.3109,0.00715834140777588
