batch size,trial #,Rand_Round,Rand_Round Time,,500,600,700,800,900,1000,1100
500,48,6199.785,8.28439211845398,,6199.785,11726.477,13865.677,20689.085,25187.923,31056.082,38234.786
500,49,4896.11199999999,8.26116013526917,,4896.11199999999,11695.472,11422.564,21066.572,26758.926,31157.596,37459.026
600,0,11438.666,10.9177148342133,,,,,,,,
600,1,13905.326,9.94535684585571,,,,,,,,
600,2,12354.232,10.4479701519012,,,,,,,,
600,3,12224.182,11.0442655086517,,,,,,,,
600,4,11511.912,11.1977531909943,,,,,,,,
600,5,10545.527,11.3928328382828,,,,,,,,
600,6,12075.656,10.8746409416199,,,,,,,,
600,7,12134.097,9.13696074485779,,,,,,,,
600,8,11282.947,8.64040851593018,,,,,,,,
600,9,12058.102,8.51931548118591,,,,,,,,
600,10,13133.966,9.0322265625,,,,,,,,
600,11,11957.146,9.2252688407898,,,,,,,,
600,12,11753.822,8.79364657402039,,,,,,,,
600,13,11718.877,8.59388446807861,,,,,,,,
600,14,9753.01599999998,8.77409505844116,,,,,,,,
600,15,14333.996,8.79584980010986,,,,,,,,
600,16,12201.557,9.08717632293701,,,,,,,,
600,17,11995.986,9.35956978797913,,,,,,,,
600,18,11619.317,9.57251381874085,,,,,,,,
600,19,11478.957,9.46285700798035,,,,,,,,
600,20,11340.076,9.69062113761902,,,,,,,,
600,21,12315.672,9.96407008171082,,,,,,,,
600,22,11641.662,9.50582766532898,,,,,,,,
600,23,10923.927,9.35945534706116,,,,,,,,
600,24,12189.826,9.37091398239136,,,,,,,,
600,25,10854.406,9.64873480796814,,,,,,,,
600,26,12577.656,9.77997016906738,,,,,,,,
600,27,12364.416,9.68874430656433,,,,,,,,
600,28,11954.146,9.48744654655457,,,,,,,,
600,29,12299.616,9.39944434165955,,,,,,,,
600,30,14920.662,9.82284879684448,,,,,,,,
600,31,10966.356,9.62588906288147,,,,,,,,
600,32,12064.967,9.47766184806824,,,,,,,,
600,33,11169.132,9.24034595489502,,,,,,,,
600,34,11782.066,9.47128129005432,,,,,,,,
600,35,12813.336,10.0009174346924,,,,,,,,
600,36,11004.592,9.79821109771729,,,,,,,,
600,37,11212.387,9.36032819747925,,,,,,,,
600,38,12105.366,9.30376505851746,,,,,,,,
600,39,12060.816,9.59666538238525,,,,,,,,
600,40,11499.057,9.87641954421997,,,,,,,,
600,41,11350.406,9.48268938064575,,,,,,,,
600,42,11164.397,9.57656669616699,,,,,,,,
600,43,11619.317,9.52977323532105,,,,,,,,
600,44,11978.776,9.74445176124573,,,,,,,,
600,45,11679.516,9.79711055755615,,,,,,,,
600,46,11726.477,9.52636432647705,,,,,,,,
600,47,10969.882,9.46728777885437,,,,,,,,
600,48,11726.477,9.344557762146,,,,,,,,
600,49,11695.472,9.81326842308044,,,,,,,,
700,0,15204.617,13.329761505127,,,,,,,,
700,1,11692.943,13.0340836048126,,,,,,,,
700,2,13461.715,13.08624792099,,,,,,,,
700,3,12990.122,13.536812543869,,,,,,,,
700,4,12281.272,12.998286485672,,,,,,,,
700,5,15805.896,13.1013584136963,,,,,,,,
700,6,13574.536,13.7353920936584,,,,,,,,
700,7,14707.602,13.2472836971283,,,,,,,,
700,8,14215.212,13.1840858459473,,,,,,,,
700,9,13696.692,13.4587795734406,,,,,,,,
700,10,12933.296,13.5065939426422,,,,,,,,
700,11,13853.502,13.157607793808,,,,,,,,
700,12,13431.195,13.0992133617401,,,,,,,,
700,13,14384.466,13.6422805786133,,,,,,,,
700,14,13130.855,13.3688273429871,,,,,,,,
