batch size,trial #,exact objective val,exact time,naive obective val,naive time,inexact objective val,inexact time,greedy objective val,greedy time
10,0,3639.5200000000004,0.20596599578857422,5099.02,0.00013899803161621094,4455.47,0.05874300003051758,5065.570000000001,0.0038559436798095703
10,1,1235.5600000000002,0.1994459629058838,1250.66,0.00014019012451171875,1235.56,0.1029367446899414,1235.56,0.007953166961669922
10,2,689.5100000000002,0.15317010879516602,759.3100000000001,0.00011014938354492188,902.6399999999999,0.04769015312194824,1035.69,0.0021970272064208984
10,3,954.7999999999998,0.1579129695892334,1771.44,0.0001347064971923828,1625.7299999999998,0.051805973052978516,1266.8500000000001,0.0032911300659179688
10,4,737.1800000000001,0.1611778736114502,895.56,0.00012373924255371094,752.63,0.05560493469238281,1051.69,0.0032880306243896484
20,0,3419.709999999999,0.22449898719787598,3811.1,0.00013828277587890625,4445.5,0.06313800811767578,5609.1,0.003288745880126953
20,1,3951.0600000000004,0.19700884819030762,5649.799999999999,0.00014209747314453125,4857.3,0.07863903045654297,4421.21,0.0050961971282958984
20,2,976.5,0.9006369113922119,1381.38,0.00014519691467285156,1067.7599999999998,0.06668400764465332,1725.44,0.004225015640258789
20,3,1492.6000000000001,0.5207149982452393,2152.8,0.00014090538024902344,2526.3,0.091033935546875,2152.7999999999997,0.006658077239990234
20,4,1196.47,0.3196079730987549,1752.5200000000002,0.0001499652862548828,2359.39,0.10464811325073242,1754.5900000000001,0.007542133331298828
30,0,4391.3099999999995,0.7954051494598389,5988.200000000001,0.0002739429473876953,5167.64,0.1782989501953125,7089.169999999999,0.012205123901367188
30,1,2257.47,0.41550207138061523,2918.6299999999997,0.0001552104949951172,2616.12,0.12279987335205078,3223.7,0.007817983627319336
30,2,3438.4699999999993,0.3495931625366211,4147.37,0.0001590251922607422,3880.89,0.11860799789428711,4529.099999999999,0.008394956588745117
30,3,4424.91,0.6915960311889648,5620.65,0.00021314620971679688,4521.55,0.20490694046020508,4960.119999999999,0.013775825500488281
30,4,4915.64,0.613914966583252,6683.85,0.0002110004425048828,5132.650000000001,0.2315058708190918,5753.61,0.021596193313598633
40,0,1582.3200000000002,0.909965991973877,2980.5900000000006,0.00019311904907226562,2379.4699999999993,0.21049189567565918,2905.2699999999995,0.014421939849853516
40,1,1313.73,0.612774133682251,2937.2900000000004,0.0001552104949951172,2038.8700000000001,0.10431075096130371,2137.03,0.0066149234771728516
40,2,1393.46,2.176248788833618,2491.65,0.00024700164794921875,2161.9,0.20111799240112305,2666.77,0.013602256774902344
40,3,5370.94,0.6701970100402832,6147.99,0.0003230571746826172,5710.110000000001,0.25745582580566406,5370.94,0.018256187438964844
40,4,1514.79,1.2646610736846924,3344.41,0.00019097328186035156,2007.1100000000001,0.17914772033691406,2943.92,0.012935161590576172
50,0,2558.7799999999997,1.2795031070709229,4571.400000000001,0.00025916099548339844,2944.7999999999993,0.27757978439331055,4170.37,0.01995110511779785
50,1,4038.1800000000007,0.7725918292999268,5894.000000000001,0.00022602081298828125,4340.8,0.21529293060302734,6648.41,0.015461921691894531
50,2,1831.3899999999999,1.307995080947876,3817.0599999999995,0.00024199485778808594,3043.5800000000004,0.24848294258117676,3511.37,0.01731705665588379
50,3,4940.68,0.8302431106567383,7726.95,0.00021219253540039062,7488.780000000001,0.20917081832885742,9448.05,0.013892889022827148
50,4,4791.77,1.3250300884246826,8501.060000000001,0.00025916099548339844,5731.31,0.2750129699707031,6087.6,0.018435955047607422
60,0,4546.35,1.5731618404388428,6448.950000000001,0.0008280277252197266,7110.33,33.31602692604065,9828.070000000002,0.023112058639526367
60,1,1897.42,1.5232081413269043,3963.2099999999996,0.0002560615539550781,3584.0099999999998,0.30337095260620117,4133.2,0.018213987350463867
60,2,5743.5,1.656101942062378,7408.7300000000005,0.0003020763397216797,7448.0199999999995,0.31213903427124023,7001.080000000001,0.020760774612426758
60,3,4959.84,1.38307523727417,6828.5,0.0002880096435546875,7320.04,0.3472318649291992,6116.490000000001,0.025664806365966797
60,4,4274.35,1.742987871170044,6554.1,0.00032782554626464844,5617.91,0.32479000091552734,7771.369999999999,0.02254199981689453
70,0,3569.6299999999997,1.5366179943084717,5674.48,0.0003199577331542969,5034.18,0.3391540050506592,5344.58,0.023353099822998047
70,1,3228.7200000000003,1.9141666889190674,4725.959999999999,0.00033211708068847656,4307.37,0.2899482250213623,5442.19,0.018532276153564453
70,2,5190.159999999999,1.6437292098999023,10994.949999999997,0.00029397010803222656,6434.04,0.3282191753387451,9133.4,0.022168874740600586
70,3,5053.99,2.446892023086548,8151.799999999997,0.0003559589385986328,7444.969999999999,0.533505916595459,11031.940000000002,0.033853769302368164
70,4,5511.8099999999995,2.056757926940918,6710.75,0.00036525726318359375,6138.86,0.430203914642334,7489.870000000001,0.029716014862060547
80,0,4619.01,2.25940203666687,7590.379999999998,0.0003399848937988281,5706.13,0.40613293647766113,6861.9800000000005,0.026427268981933594
80,1,4079.5400000000004,3.2418618202209473,7291.529999999999,0.0002949237823486328,5740.810000000001,0.4260280132293701,6009.389999999999,0.025884151458740234
80,2,6522.42,19.076369285583496,9938.250000000002,0.0003790855407714844,8142.81,0.6046380996704102,11299.42,0.030861616134643555
80,3,4668.64,1.9818692207336426,7063.260000000002,0.000324249267578125,6368.840000000002,0.3998417854309082,8202.51,0.02798318862915039
80,4,5930.9400000000005,1.2485291957855225,10680.73,0.00029730796813964844,6665.08,0.3411562442779541,6304.319999999999,0.023833274841308594
90,0,6368.959999999999,6.12723183631897,10968.509999999998,0.0004029273986816406,7825.790000000001,0.5309000015258789,7595.7,0.03631114959716797
90,1,6327.43,9.47397494316101,8427.38,0.0004451274871826172,6986.87,0.5569078922271729,7699.849999999999,0.0415186882019043
90,2,6205.09,2.544420003890991,11133.150000000001,0.00045609474182128906,8458.400000000001,0.722865104675293,8748.9,0.047688961029052734
90,3,7573.509999999999,2.159074068069458,11358.179999999998,0.00045108795166015625,9503.159999999998,0.6102850437164307,10640.48,0.04260420799255371
90,4,4528.08,277.19138193130493,8253.31,0.00039505958557128906,6584.13,0.6382217407226562,8943.36,0.03569602966308594
