
batch_size,trial #,exact objective val
25,0,5338.685443194879
25,1,1901.025991150503
25,2,7501.45386155888
25,3,5182.610584612445
50,0,3395.900650112021
50,1,4494.662877737734
50,2,1641.532221090167
50,3,5020.593006313744
75,0,4288.271861313176
75,1,4796.831438751777
75,2,4257.20404112348
75,3,2453.512772043694
100,0,2759.810330303434
100,1,5435.681206419144
100,2,4213.873995419736
100,3,6146.890217501447
