batch size,trial #,exact objective val,exact time,naive obective val,naive time,inexact objective val,inexact time,greedy objective val,greedy time
10,0,902.4300000000001,0.32512593269348145,1749.9699999999998,0.0,941.6800000000001,0.11942028999328613,1085.69,0.007808208465576172
10,1,3614.3299999999995,0.18795537948608398,4665.849999999999,0.0,4446.29,0.12588143348693848,5052.12,0.004507780075073242
10,2,783.6499999999999,0.34398889541625977,1325.59,0.0,1310.74,0.12644362449645996,1039.52,0.008835315704345703
10,3,1083.5800000000004,0.11215877532958984,1106.53,0.0,1083.58,0.08442807197570801,1440.11,0.0022454261779785156
10,4,774.7799999999997,0.0908808708190918,920.46,0.0011205673217773438,774.7800000000001,0.08897042274475098,774.7800000000001,0.003358125686645508
20,0,3000.99,0.5937361717224121,3010.8899999999994,0.0010941028594970703,3000.99,0.25125670433044434,3246.6800000000003,0.014547109603881836
20,1,1967.33,0.4300708770751953,4038.58,0.0,2272.6099999999997,0.15526080131530762,2854.2,0.008716821670532227
20,2,797.92,1.1535987854003906,2060.2599999999998,0.0,1107.44,0.27492856979370117,1726.2799999999997,0.011202573776245117
20,3,3968.4900000000002,0.347029447555542,5149.7,0.0,3983.59,0.2218008041381836,5256.259999999999,0.01986980438232422
20,4,2038.1599999999999,0.21920323371887207,3166.5,0.0,2046.81,0.1783006191253662,2800.55,0.011157989501953125
30,0,3198.62,1.3309922218322754,4571.639999999999,0.0,5376.23,0.25674009323120117,7977.54,0.015485525131225586
30,1,1969.1599999999999,0.6960680484771729,3366.3700000000003,0.0010063648223876953,2345.5399999999995,0.27928948402404785,2291.19,0.014750480651855469
30,2,1098.56,5.906055212020874,1868.03,0.0010001659393310547,1289.14,0.34513235092163086,1862.53,0.016088247299194336
30,3,2307.7999999999993,0.48826003074645996,2981.7699999999995,0.0,2316.45,0.21897363662719727,3042.1499999999996,0.013948678970336914
30,4,2060.01,5.751801013946533,4038.06,0.0,3086.8900000000003,0.32633423805236816,3273.6699999999996,0.02172088623046875
40,0,2507.72,1.419224739074707,4648.99,0.0,3109.309999999999,0.4239771366119385,4269.790000000001,0.02726912498474121
40,1,3042.83,1.3407342433929443,4625.54,0.0011799335479736328,3432.5599999999995,0.5036988258361816,3885.13,0.03348350524902344
